Month,Monthly Inflation Rate,Annual Inflation Rate
23-Mar,0.1,5
23-Feb,0.4,6
23-Jan,0.5,6.4
22-Dec,0.1,6.5
22-Nov,0.2,7.1
22-Oct,0.5,7.7
22-Sep,0.4,8.2
22-Aug,0.2,8.3
22-Jul,0,8.5
22-Jun,1.2,9.1
22-May,0.9,8.6
22-Apr,0.4,8.3
22-Mar,1,8.5
22-Feb,0.7,7.9
22-Jan,0.6,7.5
21-Dec,0.8,7
21-Nov,0.8,6.8
21-Oct,0.9,6.2
21-Sep,0.4,5.4
21-Aug,0.4,5.3
21-Jul,0.4,5.4
21-Jun,0.8,5.4
21-May,0.7,5
21-Apr,0.7,4.2
21-Mar,0.5,2.6
21-Feb,0.4,1.7
21-Jan,0.2,1.4
20-Dec,0.5,1.4
20-Nov,0.2,1.2
20-Oct,0.1,1.2
20-Sep,0.2,1.4
20-Aug,0.4,1.3
20-Jul,0.5,1
20-Jun,0.4,0.6
20-May,-0.1,0.1
20-Apr,-0.8,0.3
20-Mar,-0.4,1.5
20-Feb,0.1,2.3
20-Jan,0.2,2.5
19-Dec,0.3,2.3
19-Nov,0.2,2.1
19-Oct,0.3,1.8
19-Sep,0.2,1.7
19-Aug,0.1,1.7
19-Jul,0.2,1.8
19-Jun,-0.1,1.6
19-May,0,1.8
19-Apr,0.4,2
19-Mar,0.3,1.9
19-Feb,0.2,1.5
19-Jan,0,1.6
18-Dec,0.1,1.9
18-Nov,-0.1,2.2
18-Oct,0.2,2.5
18-Sep,0.2,2.3
18-Aug,0.2,2.7
18-Jul,0.1,2.9
18-Jun,0.1,2.9
18-May,0.2,2.8
18-Apr,0.3,2.5
18-Mar,0,2.4
18-Feb,0.3,2.2
18-Jan,0.4,2.1
17-Dec,0.2,2.1
17-Nov,0.3,2.2
17-Oct,0.1,2
17-Sep,0.5,2.2
17-Aug,0.4,1.9
17-Jul,0,1.7
17-Jun,0.1,1.6
17-May,-0.1,1.9
17-Apr,0.1,2.2
17-Mar,0,2.4
17-Feb,0.2,2.7
17-Jan,0.4,2.5
16-Dec,0.3,2.1
16-Nov,0.1,1.7
16-Oct,0.2,1.6
16-Sep,0.3,1.5
16-Aug,0.2,1.1
16-Jul,-0.1,0.8
16-Jun,0.3,1
16-May,0.2,1
16-Apr,0.4,1.1
16-Mar,0.3,0.9
16-Feb,-0.1,1
16-Jan,0,1.4
15-Dec,-0.1,0.7
15-Nov,0.1,0.5
15-Oct,0.1,0.2
15-Sep,-0.2,0
15-Aug,0,0.2
15-Jul,0.2,0.2
15-Jun,0.3,0.1
15-May,0.3,0
15-Apr,0.1,-0.2
15-Mar,0.3,-0.1
15-Feb,0.3,0
15-Jan,-0.6,-0.1
14-Dec,-0.3,0.8
14-Nov,-0.2,1.3
14-Oct,0,1.7
14-Sep,0,1.7
14-Aug,0,1.7
14-Jul,0.1,2
14-Jun,0.1,2.1
14-May,0.2,2.1
14-Apr,0.2,2
14-Mar,0.2,1.5
14-Feb,0.1,1.1
14-Jan,0.2,1.6
13-Dec,0.3,1.5
13-Nov,0.2,1.2
13-Oct,0.1,1
13-Sep,0,1.2
13-Aug,0.2,1.5
13-Jul,0.2,2
13-Jun,0.2,1.8
13-May,0,1.4
13-Apr,-0.2,1.1
13-Mar,-0.3,1.5
13-Feb,0.5,2
13-Jan,0.2,1.6
